Class,level2,Categories,Number,Words
CLASS        I,SECTION        II,CLASS        ISECTION        II,19. Imitation ,"imitation, copying, transcription, repetition, duplication, reduplication, quotation, reproduction, mimeograph, xerox, facsimile, reprint, offprint, mockery, mimicry, simulation, impersonation, personation, representation, semblance, copy, assimilation, paraphrase, parody, takeoff, lampoon, caricature, plagiarism, forgery, counterfeit, falsehood, celluloid, imitator, echo, cuckoo, parrot, ape, monkey, mocking, bird, mime, copyist, copycat, plagiarist, pirate, imitate, copy, mirror, reflect, reproduce, repeat, like, echo, reecho, catch, transcribe, match, parallel, mock, take, mimic, ape, simulate, impersonate, personate, act, drama, represent, counterfeit, parody, travesty, caricature, lampoon, burlesque, follow, steps, tread, steps, follow, footsteps, follow, wake, take, pattern, follow, suit, follow, example, walk, shoes, take, leaf, anothers, book, strike, follow, suit, take, model, emulate, imitated, mock, mimic, modelled, molded, paraphrastic, literal, imitative, secondhand, imitable, aping, apish, mimicking, literally, letter, verbatim, literatim, sic, totidem, verbis, word, word, mot, mot, fr, exactly, precisely, like, master, like, man, like, oh, different, wordsworth, genius, borrows, nobly, emerson, pursuing, echoes, calling, mong, rocks, coles, quotation, confesses, inferiority, emerson, imitation, sincerest, form, imitation, sincerest, form, flattery"
CLASS        I,SECTION        II,CLASS        ISECTION        II,20. Nonimitation ,"imitation, originality, creativeness, invention, creation, unimitated, uncopied, unmatched, unparalleled, inimitable, unique, original, creative, inventive, untranslated, exceptional, rare, sui, generis, uncommon, unexampled"
CLASS        I,SECTION        II,CLASS        ISECTION        II,20a. Variation ,"variation, alteration, change, modification, moods, tenses, discrepance, discrepancy, divergency, deviation, aberration, innovation, vary, change, deviate, diverge, alternate, swerve, varied, modified, diversified"
CLASS        I,SECTION        II,CLASS        ISECTION        II,21. Copy ,"copy, facsimile, counterpart, effigies, effigy, form, likeness, image, picture, photo, xerox, similitude, semblance, ectype, photo, offset, electrotype, imitation, model, representation, adumbration, study, portrait, representation, resemblance, duplicate, reproduction, cast, tracing, reflex, reflexion, brit, reflection, shadow, echo, transcript, copy, nonvisual, form, transcription, recording, scan, chip, old, block, reprint, new, printing, rechauffe, fr, apograph, fair, copy, parody, caricature, burlesque, travesty, travestie, paraphrase, copy, differences, derivative, derivation, modification, expansion, extension, revision, second, edition, repetition, servile, copy, servile, imitation, plagiarism, counterfeit, fake, deception, pasticcio, faithful, lifelike, similar, close, conscientious, unoriginal, imitative, derivative"
CLASS        I,SECTION        II,CLASS        ISECTION        II,22. Prototype ,"prototype, original, model, pattern, precedent, standard, ideal, reference, scantling, type, archetype, antitype, protoplast, module, exemplar, example, ensample, paradigm, layfigure, text, copy, design, fugleman, keynote, die, mold, matrix, last, plasm, proplasm, protoplasm, mint, seal, punch, intaglio, negative, stamp, example, role, model, set, example, set, copy, precedent, embalms, principle, lattran, disraeli, exempla, sunt, odiosa, general, relation"
CLASS        I,SECTION        II,CLASS        ISECTION        II,23. Agreement ,"agreement, accord, accordance, unison, harmony, concord, concordance, concert, understanding, mutual, understanding, conformity, conformance, uniformity, consonance, consentaneousness, consistency, congruity, congruence, keeping, congeniality, correspondence, parallelism, apposition, union, fitness, aptness, relevancy, pertinence, pertinencey, sortance, case, point, aptitude, coaptation, propriety, applicability, admissibility, commensurability, compatibility, cognation, relation, adaption, adjustment, graduation, accommodation, reconciliation, reconcilement, assimilation, consent, assent, concurrence, cooperation, right, man, right, place, thing, quite, thing, thing, accordant, agree, accord, harmonize, correspond, tally, respond, meet, suit, fit, befit, adapt, fall, chime, square, quadrate, consort, comport, dovetail, assimilate, fit, like, glove, fit, tittle, fit, match, become, one, homologate, consent, assent, render, accordant, fit, suit, adapt, accommodate, graduate, adjust, render, equal, dress, regulate, readjust, accord, harmonize, reconcile, fadge, dovetail, square, agreeing, suiting, accord, accordant, concordant, consonant, congruous, consentaneous, correspondent, congenial, coherent, becoming, harmonious, reconcilable, conformable, accordance, harmony, keeping, unison, one, one, mind, piece, fr, consistent, compatible, proportionate, commensurate, fours, apt, apposite, pertinent, pat, point, purpose, happy, felicitous, germane, ad, rem, point, point, directly, point, bearing, upon, applicable, relevant, admissible, fit, adapted, loco, propos, fr, appropriate, seasonable, sortable, suitable, idoneous, deft, meet, expedient, home, ones, proper, element, propos, fr, pertinently, rem, acu, tetigisti, shoe, fits, wear, cap, fits, auxilia, humilia, firma, consensus, facit, syrus, discers, concordia, ovid"
CLASS        I,SECTION        II,CLASS        ISECTION        II,24. Disagreement ,"disagreement, discord, discordance, dissonance, dissidence, discrepancy, unconformity, incongruity, incongruence, discongruity, mesalliance, jarring, dissension, conflict, opposition, bickering, clashing, misunderstanding, wrangle, disparity, mismatch, disproportion, dissimilitude, inequality, disproportionateness, variance, divergence, repugnance, unfitness, inaptitude, impropriety, inapplicability, inconsistency, inconcinnity, irrelevancy, irrelation, misjoining, misjoinder, syncretism, intrusion, interference, concordia, discors, fish, water, disagree, clash, jar, discord, interfere, intrude, come, amiss, concern, mismatch, humano, capiti, cervicem, jungere, equinam, disagreeing, discordant, discrepant, variance, war, hostile, antagonistic, repugnant, incompatible, irreconcilable, inconsistent, unconformable, exceptional, intrusive, incongruous, disproportionate, disproportionated, inharmonious, unharmonious, inconsonant, unconsonant, divergent, repugnant, inapt, unapt, inappropriate, improper, unsuited, unsuitable, inapplicable, point, unfit, unfitting, unbefitting, unbecoming, illtimed, unseasonable, mal, propos, fr, inadmissible, inapposite, irrelevant, uncongenial, illassorted, illsorted, mismatched, misjoined, misplaced, misclassified, unaccommodating, irreducible, incommensurable, uncommensurable, unsympathetic, character, keeping, proportion, joint, tune, place, season, element, odds, variance, defiance, contempt, spite, discordantly, tort, et, travers, asinus, ad, lyram, section, iii, quantity, simple, quantity"
CLASS        I,SECTION        III,CLASS        ISECTION        III,25. Quantity ,"quantity, magnitude, size, dimensions, amplitude, magnitude, mass, amount, sum, quantum, measure, substance, strength, force, science, quantity, mathematics, mathesis, logic, category, general, conception, universal, predicament, definite, finite, quantity, armful, handful, mouthful, spoonful, capful, stock, batch, lot, dose, yaffle, quantify, measure, fix, estimate, determine, quantitate, enumerate, quantitative, aught, less, tune, full, sum, fully, exactly, precisely"
CLASS        I,SECTION        III,CLASS        ISECTION        III,26. Degree ,"degree, grade, extent, measure, amount, ratio, stint, standard, height, pitch, reach, amplitude, range, scope, caliber, gradation, shade, tenor, compass, sphere, station, rank, standing, rate, way, sort, point, mark, stage, term, intensity, strength, greatness, comparative, gradual, shading, within, bounds, limit, degrees, gradually, inasmuch, pro, tanto, however, howsoever, step, step, bit, bit, little, little, inch, inch, drop, drop, little, time, inches, slow, degrees, degrees, little, little, degree, measure, extent, di, grado, grado, comparative, quantity"
CLASS        I,SECTION        III,CLASS        ISECTION        III,27. Equality ,"equality, parity, coextension, symmetry, balance, poise, evenness, monotony, level, equivalence, equipollence, equipoise, equilibrium, equiponderance, par, quits, wash, pin, choose, distinction, without, difference, six, one, half, dozen, tweedle, dee, tweedle, dum, identity, similarity, equalization, equation, equilibration, coordination, adjustment, readjustment, drawn, game, drawn, battle, neck, neck, race, tie, draw, standoff, dead, heat, match, peer, compeer, equal, mate, fellow, brother, equivalent, equal, equal, match, reach, keep, pace, run, abreast, come, amount, come, level, lie, level, balance, cope, come, thing, render, equal, equalize, level, dress, balance, equate, handicap, give, points, spot, points, handicap, trim, adjust, poise, fit, accommodate, adapt, render, accordant, strike, balance, establish, equality, restore, equality, restore, equilibrium, readjust, stretch, bed, procrustes, equal, even, level, monotonous, coequal, symmetrical, coordinate, par, level, footing, mark, equiparant, equivalent, tantamount, indistinguishable, quits, homologous, synonymous, resolvable, convertible, much, one, broad, long, neither, less, much, thing, good, one, equipollent, equiponderant, equiponderous, equibalanced, equalized, drawn, half, half, isochronal, isochronous, isoperimetric, isoperimetrical, isobath, ocean, isobathic, ocean, equally, pari, passu, ad, eundum, caeteris, paribus, equilibrio, intents, purposes, comes, thing, amounts, thing, sauce, goose, sauce, sauce, goose, sauce, gander"
